,age,sexe,taux,situationFamiliale,nbEnfantsAcharge,SecondeVoiture,cluster
1,35,m,223,Celibataire,0,false,3
2,48,m,401,Celibataire,0,false,3
3,26,f,420,En Couple,3,true,4
4,80,m,530,En Couple,3,false,2
5,27,f,153,En Couple,2,false,3
6,59,f,572,En Couple,2,false,3
7,43,f,431,Celibataire,0,false,1
8,64,m,559,Celibataire,0,false,3
9,22,m,154,En Couple,1,false,3
10,79,f,981,En Couple,2,false,3
11,55,m,588,Celibataire,0,false,1
12,19,f,212,Celibataire,0,false,3
13,34,f,1112,En Couple,0,false,3
14,60,m,524,En Couple,0,true,1
15,22,m,411,En Couple,3,true,4
16,58,m,1192,En Couple,0,false,3
17,54,f,452,En Couple,3,true,4
18,35,m,589,Celibataire,0,false,1
19,59,m,748,En Couple,0,true,1
