641028cef84f684cbe744cee,21,f,1396,Celibataire,0,false
641028cef84f684cbe744cf0,35,m,223,Celibataire,0,false
641028cef84f684cbe744cf2,48,m,401,Celibataire,0,false
641028cef84f684cbe744cf4,26,f,420,En Couple,3,true
641028cef84f684cbe744cf6,80,m,530,En Couple,3,false
641028cef84f684cbe744cf8,27,f,153,En Couple,2,false
641028cef84f684cbe744cfa,59,f,572,En Couple,2,false
641028cef84f684cbe744cfc,43,f,431,Celibataire,0,false
641028cef84f684cbe744cfe,64,m,559,Celibataire,0,false
641028cef84f684cbe744d00,22,m,154,En Couple,1,false
641028cef84f684cbe744d02,79,f,981,En Couple,2,false
641028cef84f684cbe744d04,55,m,588,Celibataire,0,false
641028cef84f684cbe744d06,19,f,212,Celibataire,0,false
641028cef84f684cbe744d08,34,f,1112,En Couple,0,false
641028cef84f684cbe744d0a,60,m,524,En Couple,0,true
641028cef84f684cbe744d0c,22,m,411,En Couple,3,true
641028cef84f684cbe744d0e,58,m,1192,En Couple,0,false
641028cef84f684cbe744d10,54,f,452,En Couple,3,true
641028cef84f684cbe744d12,35,m,589,Celibataire,0,false
641028cef84f684cbe744d14,59,m,748,En Couple,0,true
